Orange #,R,S,T,U,V,W,Brix,Conclusion
8,2554.491667,665.9866667,196.11,108.1266667,157.8633333,94.45333333,10.7,underripe
14,2123.056667,611.1666667,165.1183333,90.54166667,140.3066667,79.06833333,11,underripe
9,2780.533333,811.6766667,201.5116667,111.1733333,165.4466667,101.9666667,12.1,good
10,1905.816667,453.6783333,210.5116667,107.02,129.915,71.91,11.3,underripe
11,1338.47,243.87,264.2666667,128.615,112.3583333,56.17166667,10.8,underripe
19,2512.66,782.2716667,187.11,103.1416667,149.1583333,94.99,12.7,overripe
24,1801.503333,343.7083333,269.9266667,134.7083333,139.1833333,70.84,11.6,good
28,2077.006667,541.0619444,216.4075,112.5333333,139.3947222,79.15777778,12,good
31,2619.488333,757.0216667,180.4216667,101.205,155.895,95.88666667,11.7,good
55,1483.178333,473.45,142.355,74.485,92.27166667,56.34833333,12.3,overripe
69,2340.661667,786.9233333,185.4366667,100.51,136.655,89.08833333,11.9,good
74,1858.956667,555.515,133.355,74.06833333,111.2333333,68.695,11,underripe
75,2014.618333,606.3483333,148.53,82.375,120.6433333,74.41833333,11.5,good
78,1318.54,289.8866667,182.3516667,91.64833333,95.785,51.16,10.9,underripe
79,1939.240556,578.1908333,162.075,87.38194444,118.7472222,72.59944444,10.5,underripe
